Unidade,Perda Primária (%),Taxa de Absenteísmo (%),Taxa de Absenteísmo (%),Taxa de Absenteísmo (%),tipo_unidade,periodo,ano
Unidade,Perda Primária (%),Primeira Consulta,Interconsulta,Subsequente,,,
LUCY MONTORO - BOTUCATU,73.33,32.5,0.0,0.0,Rede Lucy,3º Trimestre,2018
FERNANDÓPOLIS - REDE LUCY,0.0,7.41,0.0,13.13,Rede Lucy,3º Trimestre,2018
LUCY MONTORO - MOGI MIRIM,1.11,13.48,12.24,15.63,Rede Lucy,3º Trimestre,2018
LUCY MONTORO - PARIQUERA-ACU,0.0,15.09,0.0,12.11,Rede Lucy,3º Trimestre,2018
LUCY MONTORO - SANTOS,0.0,8.45,0.0,15.78,Rede Lucy,3º Trimestre,2018
REDE LUCY SJ DOS CAMPOS,0.0,7.89,0.0,13.31,Rede Lucy,3º Trimestre,2018
LUCY MONTORO - SOROCABA,18.67,19.67,0.0,7.14,Rede Lucy,3º Trimestre,2018
